group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860501372.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860504381.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,868014029.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860736407.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860953380.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860356137.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860573293.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,861378476.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860428884.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860194769.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860795862.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860154939.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860727748.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860315022.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860921610.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860390787.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860050258.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860184451.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,890100519.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,862316288.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,1620580106.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,1033028529.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,1404234885.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,861055819.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,908871695.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,880898275.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860706025.0,ns,3
Moderator,"Moderator :: Generate ""1000"" tokens",,,,860690640.0,ns,3
