group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sender,"Frank :: Plaintext Size ""1000""B",,,,16829170.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16802063.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16792559.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16807997.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16769287.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16801415.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16817009.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16813178.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16844186.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16707945.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16768993.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16804105.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16808981.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16797400.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16784988.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16791477.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16781922.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16799198.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16790251.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16776913.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16797447.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16937211.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16835534.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16810210.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16829996.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16769119.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16778625.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16799535.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16779093.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16784336.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16786109.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16785921.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16783742.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16781889.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16778180.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16781774.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16792399.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16794825.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16770587.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16775678.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16784005.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16791616.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16787324.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,19880278.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16798225.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16787485.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16883167.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16793999.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16787328.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16824892.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16786136.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16786340.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16778835.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16813545.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16782744.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16794372.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16845056.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16857110.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16835590.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16806293.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16775787.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16724330.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16903860.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16899644.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16793731.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16820150.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16800315.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16830509.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16788034.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16816652.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16821297.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16852226.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16795956.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16774990.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16795070.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16781683.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16807410.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16914270.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16789116.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16791721.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16794762.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16832411.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16843801.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16795439.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16751601.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16813160.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16814198.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16793966.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16871095.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16848092.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16848550.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16866030.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16844797.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16784765.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16807959.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16770095.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16777255.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16836192.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16774022.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16843129.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16806628.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16778364.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16812859.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16793173.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16779329.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16828863.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16782608.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16778290.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16783988.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16782058.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16797040.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16785105.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16792564.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16844316.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,17053487.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16796919.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16800232.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16792209.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16813396.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16777557.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16771544.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16787345.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16790408.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16786377.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16785810.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16792676.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16859921.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16800032.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16781878.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16782728.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16816359.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16808530.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16790522.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16802593.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16789657.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16790668.0,ns,73
Sender,"Frank :: Plaintext Size ""1000""B",,,,16788607.0,ns,73
