group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Platform,Sign and Timestamp ,,,,47464944.0,ns,220
Platform,Sign and Timestamp ,,,,47967373.0,ns,222
Platform,Sign and Timestamp ,,,,48335679.0,ns,224
Platform,Sign and Timestamp ,,,,48778122.0,ns,226
Platform,Sign and Timestamp ,,,,49148330.0,ns,228
Platform,Sign and Timestamp ,,,,49621315.0,ns,230
Platform,Sign and Timestamp ,,,,50040468.0,ns,232
Platform,Sign and Timestamp ,,,,50504341.0,ns,234
Platform,Sign and Timestamp ,,,,50975819.0,ns,236
Platform,Sign and Timestamp ,,,,51465904.0,ns,238
Platform,Sign and Timestamp ,,,,51818951.0,ns,240
Platform,Sign and Timestamp ,,,,52267135.0,ns,242
Platform,Sign and Timestamp ,,,,52618248.0,ns,244
Platform,Sign and Timestamp ,,,,53008170.0,ns,246
Platform,Sign and Timestamp ,,,,53448514.0,ns,248
Platform,Sign and Timestamp ,,,,53917438.0,ns,250
Platform,Sign and Timestamp ,,,,54592247.0,ns,252
Platform,Sign and Timestamp ,,,,54958136.0,ns,254
Platform,Sign and Timestamp ,,,,55181662.0,ns,256
Platform,Sign and Timestamp ,,,,55749763.0,ns,258
Platform,Sign and Timestamp ,,,,56147916.0,ns,260
Platform,Sign and Timestamp ,,,,56586794.0,ns,262
Platform,Sign and Timestamp ,,,,56927093.0,ns,264
Platform,Sign and Timestamp ,,,,57350449.0,ns,266
Platform,Sign and Timestamp ,,,,57786304.0,ns,268
Platform,Sign and Timestamp ,,,,58198881.0,ns,270
Platform,Sign and Timestamp ,,,,58603749.0,ns,272
Platform,Sign and Timestamp ,,,,59149879.0,ns,274
Platform,Sign and Timestamp ,,,,59495703.0,ns,276
Platform,Sign and Timestamp ,,,,59966499.0,ns,278
Platform,Sign and Timestamp ,,,,60419237.0,ns,280
Platform,Sign and Timestamp ,,,,60850043.0,ns,282
Platform,Sign and Timestamp ,,,,61388043.0,ns,284
Platform,Sign and Timestamp ,,,,61714894.0,ns,286
Platform,Sign and Timestamp ,,,,62123067.0,ns,288
Platform,Sign and Timestamp ,,,,62602903.0,ns,290
Platform,Sign and Timestamp ,,,,63040760.0,ns,292
Platform,Sign and Timestamp ,,,,63430487.0,ns,294
Platform,Sign and Timestamp ,,,,63848332.0,ns,296
Platform,Sign and Timestamp ,,,,64275923.0,ns,298
Platform,Sign and Timestamp ,,,,64676416.0,ns,300
Platform,Sign and Timestamp ,,,,65096305.0,ns,302
Platform,Sign and Timestamp ,,,,65563840.0,ns,304
Platform,Sign and Timestamp ,,,,66152610.0,ns,306
Platform,Sign and Timestamp ,,,,66493586.0,ns,308
Platform,Sign and Timestamp ,,,,67046554.0,ns,310
Platform,Sign and Timestamp ,,,,67343688.0,ns,312
Platform,Sign and Timestamp ,,,,67700814.0,ns,314
Platform,Sign and Timestamp ,,,,68315064.0,ns,316
