group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Moderator,"Moderator :: Generate ""10"" tokens",,,,18665285.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,18465421.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,22988689.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,19045915.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,51436940.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,41923727.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,31727898.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17264410.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17401570.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17265996.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17250085.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17237968.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17250207.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17206146.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17216985.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17222722.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17226691.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17216746.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17210047.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17209162.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17204089.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17295085.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17197325.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17196754.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17208491.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17344140.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17210740.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17207787.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17202299.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17188020.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17197494.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17224789.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17192575.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17196663.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17219135.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17179045.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17199340.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17211599.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17172946.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17187321.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17247482.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17250989.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,18960526.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17209963.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17220122.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17185989.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17249706.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17210611.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17210268.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17198679.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17192242.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17190430.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17248512.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17143492.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17188255.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17206970.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17212446.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17199599.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17188734.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17271687.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17208042.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17169543.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17124431.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17223566.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17246470.0,ns,6
Moderator,"Moderator :: Generate ""10"" tokens",,,,17206117.0,ns,6
