group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sender,"Frank :: Plaintext Size ""10""B",,,,16579039.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16678419.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16572563.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16551913.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16569436.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16547894.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16569376.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16664045.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16543842.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16560662.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16589726.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16567983.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16596228.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16550080.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16623386.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16564512.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16559451.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16584962.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16545777.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16546748.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16559080.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16622041.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16571224.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16561864.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16569154.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16558832.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16586002.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16564516.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16589908.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16566928.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16564562.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16540457.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16576150.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16569876.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16583455.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16536269.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16576462.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16631041.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16554101.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16573415.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16618791.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16567943.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16556823.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16554537.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16572152.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16582391.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16550886.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16584186.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16568292.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16561944.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16557501.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16589616.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16549404.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16568038.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16557863.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16553746.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16572017.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16566400.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16558064.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16562620.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16649256.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16552378.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16554184.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16590268.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16547728.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16563323.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16565609.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16552391.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16544705.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16581888.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16572103.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16584546.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16605824.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16574817.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16594108.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16570904.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16572731.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16558361.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16640299.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16577229.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16553711.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16546513.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16642236.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16554931.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16577934.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16620486.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16565930.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16541286.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16543444.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16577687.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16552716.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16570056.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16580105.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16693809.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16578982.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16612974.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16547336.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16565569.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16559066.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16596524.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16582684.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16605631.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16538772.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16591672.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16556232.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16553480.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16538487.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16564943.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16544434.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16582541.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16584363.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16536051.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16558135.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16550425.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16573292.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16551392.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16540148.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16566441.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16561294.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16552266.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16646433.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16585963.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16547332.0,ns,74
Sender,"Frank :: Plaintext Size ""10""B",,,,16563311.0,ns,74
